Tweet_count,Username,Text,Created At,Retweets,Likes
100,مسعود,"Je ne donne pas de pourboire si je reçois aucun service, aka fast food/take-out ☠️ and coffee shops, when their first option is 25%",Wed Feb 19 00:08:15 +0000 2025,0,3
101,i paint the town blue ♡,je prend tt le temps de l’eau mtn dans mes commandes fast food #healthygirl,Sat Feb 22 11:17:46 +0000 2025,0,2
102,𝐊𝐡𝐞𝐲𝐑𝟒𝐀🕷️0️⃣,@CyberH42 @MMArena_ Choix perso du fast food,Wed Feb 19 12:43:45 +0000 2025,0,197
103,altf4,comment j’ai trop envie d’un fast food ca f longtemps en vrai ce soir cv se pt le bide les filles,Wed Feb 19 12:43:37 +0000 2025,0,4
104,en 🫀et en esprit,@Kr0nnossss Le poto nous dit de lâcher les fast food pour nous envoyer manger à la cantine #onestchezlesfous,Wed Feb 19 10:46:52 +0000 2025,0,2
105,PE Goetz,Mac Donald pressé comme au fast-food 😳,Sat Feb 22 17:49:30 +0000 2025,0,3
106,Frédéric Happe,"Lorsque tu utilises la casserole pour cuisiner des plats surgelés et vendre ça au prix d'un resto gastronomique, faut pas s'étonner que les gens aillent bouffer au fast food et au kebab, mec",Thu Feb 13 10:31:39 +0000 2025,1,11
107,Diony 🤴🏻,@alizeeestla Mon genre de fast food vau,Mon Feb 17 23:56:43 +0000 2025,0,2
108,Charles Antoine,"@BrunoTertrais Ah oui, quand on va servir les gens dans un fast food, c'est la preuve irréfutable qu'on aime le peuple. Il n'a que deux dons: la communication et l'art de se faire des ennemis.",Sun Feb 16 16:26:38 +0000 2025,0,12
109,Yugobe Hugo 🇨🇵,@UnRebeu213 Faire plus de 1km pour aller dans un fast food lambda = maladie mentale,Sat Feb 15 14:50:56 +0000 2025,5,542
110,Justine🇩🇿,"Le culot🙃

Ca fait 100 ans que les Us nous imposent leur modèle. Coca Cola, Fast food, cinema, Pere Noel, etc. jusque dans la société inclusive et le wokisme actuel.😡

Aujourd'hui, Trump veut se désengager. Et tout le monde crie, c'est ahurissant🤔",Sat Feb 15 19:41:59 +0000 2025,1,2
111,laragedlastreet 🎩,Les gadji de la hmi house sans les réseaux elle serait tellement en train de faire des lemon splash dans un fast food indien #hmihouse,Mon Feb 17 14:50:15 +0000 2025,0,6
112,Trace78000,"@CoolTheCucumber Le Maroc avance, 
On peut critiquer car c’est un fast-food, mais ça crée de l’emploi donc arrêtez de chialer à chaque fois.",Sat Feb 22 21:26:07 +0000 2025,0,6
113,Entier Spectre,"@L_ThinkTank Tu fais la même chose : taxer cher les Coca-Cola, les Whiskys, les cigarettes, les fast food, les films et séries et autres propagandes américaines. Et tu peux faire ça au nom de notre santé physique et mentale. Et est-ce que les GAFAM paient des impôts en France ?",Sat Feb 22 12:27:32 +0000 2025,0,16
114,Anselme,"@Romain_bkr Interview Frontières : 
« le Rösti est une chance pour la France »
Rencontre avec Flunch, cette enseigne de Fast Food qui veut faire aimer le métissage culinaire aux français",Wed Feb 19 08:43:59 +0000 2025,0,11
115,Causeur.fr,"""Après des décennies d’un règne triomphant, le fast-food et sa mal bouffe n’ont plus le vent en poupe. Le burger se francise et les bouillons populos sont devenus branchés. Assiste-t-on au retour de la cuisine tradi ?"" @causeur 

https://t.co/l9mDn1uvbR",Fri Feb 14 17:01:00 +0000 2025,0,4
116,~PauL_Corvo_Flower~,https://t.co/h7w534jhRX Marie va travailler dans un fast food bien connus bah ouais Fast food simulator,Wed Feb 19 20:08:57 +0000 2025,0,2
117,TDS Slipix 🌊,"Bonne saint Valentin à tous! Vu qu’on habite dans un endroit paumé sans fast food ma femme veut un mcdo mdr. Et bah je suis tellement heureux trop la flemme les restaurants blindés la, la simplicité parfois ça fait du bien 🫡",Fri Feb 14 12:13:54 +0000 2025,8,799
118,🐺,ça n’as jamais et ne sera JAMAIS bon dsl c’est le pire des fast food,Mon Feb 17 02:13:18 +0000 2025,1,3
119,Rocco,"@KNOXDOL Franchement t’es trop chaud pour arrêtez les fast food et le sucre, moi j’ai perdu 20kg tout en continuant de manger de la merde juste je mange un repas par jour et je fais du vélo. Je peux pas me restreindre sur ça c’est trop dur.",Sat Feb 22 11:42:36 +0000 2025,0,8
